verbatim	code	source
4,44444444444444E+20	0	MF 180621
4444444444444444444444444	0	MF 180621
4,44444444444444E+24	0	MF 180621
2,97297889279297E+26	0	MF 180621
2,97297889279889E+26	0	MF 180621
'	0	MF 180621
''	0	MF 180621
'---	0	MF 180621
-	0	MF 180621
--	0	MF 180621
---	0	MF 180621
----	0	MF 180621
-----	0	MF 180621
-------	0	MF 180621
--------	0	MF 180621
-----------	0	MF 180621
------------	0	MF 180621
-------------	0	MF 180621
--------------	0	MF 180621
---------------	0	MF 180621
----------------	0	MF 180621
-------------------	0	MF 180621
--------------------	0	MF 180621
---------------------	0	MF 180621
--------------------------	0	MF 180621
----------------------------	0	MF 180621
' '	0	MF 180621
- |keine	0	MF 180621
- bekannt	0	MF 180621
- brauch ich nicht -	0	MF 180621
- brauche ich nicht -	0	MF 180621
- dito -	0	MF 180621
- fällt mir nicht ein -	0	MF 180621
- keine-	0	MF 180621
- keine -	0	MF 180621
!!	0	MF 180621
!!!	0	MF 180621
#	0	MF 180621
#???????????????	0	MF 180621
#|||||||||Huck COBURG	17	MF 180621
#|öläkn	0	MF 180621
#advocart	2	MF 180621
#Allianz	25	MF 180621
#äöl	0	MF 180621
#äölkmn	0	MF 180621
#ERGO	9	MF 180621
#HDI	14	MF 180621
#union Investment	319	MF 180621
'$§&/()ÜQWERTZUI	0	MF 180621
'$HWEsd	0	MF 180621
$T	0	MF 180621
%%	0	MF 180621
%&Q%$&Z	0	MF 180621
&	0	MF 180621
&&	0	MF 180621
(	0	MF 180621
((	0	MF 180621
((88))	0	MF 180621
(das kleine rote Telefon	0	MF 180621
(hrgtnchml	0	MF 180621
(keine)	0	MF 180621
(leere Menge)	0	MF 180621
(Taunus) Sparkasse	310	MF 180621
(Tut mir leid	0	MF 180621
(vergessen)	0	MF 180621
(void)	0	MF 180621
-)	0	MF 180621
))	0	MF 180621
-*958	0	MF 180621
*lol*	0	MF 180621
, cosmos	5	MF 180621
-, Huk	17	MF 180621
.	0	MF 180621
.-	0	MF 180621
.--	0	MF 180621
-.	0	MF 180621
. direkt	0	MF 180621
-.- ich sehe keine werbung!!	0	MF 180621
. Zu	0	MF 180621
..	0	MF 180621
.-.	0	MF 180621
.. vergessen..	0	MF 180621
...	0	MF 180621
... achte nicht auf Firmen-Propaganda ...	0	MF 180621
... Allianz ...	25	MF 180621
... Direkt	0	MF 180621
... direkt?	0	MF 180621
... line	0	MF 180621
... nach Angebotslage ...	0	MF 180621
... nova	139	MF 180621
... Versicherung	0	MF 180621
... weiß ich leider nicht	0	MF 180621
...)	0	MF 180621
....	0	MF 180621
.....	0	MF 180621
..... ...	0	MF 180621
......	0	MF 180621
.......	0	MF 180621
........	0	MF 180621
.........	0	MF 180621
..........	0	MF 180621
............	0	MF 180621
.............	0	MF 180621
..............	0	MF 180621
...............	0	MF 180621
................	0	MF 180621
.................	0	MF 180621
..................	0	MF 180621
...................	0	MF 180621
....................	0	MF 180621
.....................	0	MF 180621
......................	0	MF 180621
.......................	0	MF 180621
.........................	0	MF 180621
..............................	0	MF 180621
...............................	0	MF 180621
......................................	0	MF 180621
..............................................	0	MF 180621
.......advocard	2	MF 180621
.....card	0	MF 180621
....?	0	MF 180621
....Advocart	2	MF 180621
....direkt	0	MF 180621
....Mannheimer	206	MF 180621
....usw	0	MF 180621
...|AOK	45	MF 180621
...24	0	MF 180621
...auch nicht	0	MF 180621
...Consors..	318	MF 180621
...direkt	0	MF 180621
...direkt?	0	MF 180621
...Fernsehspot mit der Versicherungsfamilie	0	MF 180621
...in der letzten Zeit von keiner	0	MF 180621
...ist Rechtsanwalts Liebling (Name vergessen !)	0	MF 180621
...kann mich an keine erinnern	0	MF 180621
...kein Zusammenhang	0	MF 180621
...Mannheimer	206	MF 180621
...spielt auf einem Bau...Firma weiß ich nicht	0	MF 180621
...unbekannt	0	MF 180621
...von keiner	0	MF 180621
..Betriebskrankenkassen	48	MF 180621
..eine von den älteren Versicherungen...	0	MF 180621
..es fällt mir nicht ein...	0	MF 180621
..hab nur die melodie dazu im kopf	0	MF 180621
..im Zeichen der Burg..	0	MF 180621
..ist Anwalts Liebling	0	MF 180621
..keine..	0	MF 180621
./	0	MF 180621
./.	0	MF 180621
.?oh weis ich jetzt nicht mehr	0	MF 180621
.+	0	MF 180621
.ä---ä-	0	MF 180621
.b	0	MF 180621
.b.b.kb	0	MF 180621
.ch.	0	MF 180621
.cmdgn	0	MF 180621
.comdirect	314	MF 180621
.conti	115	MF 180621
.d	0	MF 180621
.fhgads	0	MF 180621
.gf	0	MF 180621
.h	0	MF 180621
.hb.m	0	MF 180621
.hj	0	MF 180621
.hk	0	MF 180621
.hkc.	0	MF 180621
.hkgh	0	MF 180621
.j.k	0	MF 180621
.jb.kgn	0	MF 180621
.jbn	0	MF 180621
.jgk	0	MF 180621
.jhvkhvkcl	0	MF 180621
.jk	0	MF 180621
.jk.	0	MF 180621
.jk.j.jk.kj	0	MF 180621
.jkm	0	MF 180621
-.jmh	0	MF 180621
.kh	0	MF 180621
.kjbilh	0	MF 180621
.kjmn	0	MF 180621
.kjn	0	MF 180621
.kl	0	MF 180621
.kl.lök-lö-lö	0	MF 180621
.klh-ö	0	MF 180621
.kn	0	MF 180621
.kn .kj .k.kj	0	MF 180621
.kvbj	0	MF 180621
.l	0	MF 180621
.l.	0	MF 180621
.lhhc	0	MF 180621
